protein,fold_change,pval,n healthy,n sick,p_adj
P398,0.044628186,5.75E-03,1006,48603,4.22E-02
P399,0.049151565,5.82E-03,1006,48603,4.26E-02
P400,-0.034940382,5.93E-03,1006,48603,4.34E-02
P401,-0.060752474,5.98E-03,1006,48603,4.36E-02
P402,0.041439077,6.09E-03,1006,48603,4.43E-02
P403,0.05198594,6.21E-03,1006,48603,4.49E-02
P404,-0.062501127,6.20E-03,1006,48603,4.49E-02
P405,-0.026541258,6.31E-03,1006,48603,4.55E-02
P406,0.039808532,6.34E-03,1006,48603,4.56E-02
P407,-0.030647031,6.44E-03,1006,48603,4.62E-02
P408,-0.036099428,6.46E-03,1006,48603,4.63E-02
P409,-0.056951636,6.48E-03,1006,48603,4.63E-02
P410,0.044977137,6.49E-03,1006,48603,4.63E-02
P411,0.065437142,6.60E-03,1006,48603,4.67E-02
P412,-0.033737808,6.60E-03,1006,48603,4.67E-02
P413,0.051051066,6.58E-03,1006,48603,4.67E-02
P414,0.027518989,6.64E-03,1006,48603,4.68E-02
P415,0.086875236,6.63E-03,1006,48603,4.68E-02
P416,0.100419442,6.74E-03,1006,48603,4.73E-02
P417,-0.056265421,6.74E-03,1006,48603,4.73E-02
P418,0.060621057,6.78E-03,1006,48603,4.74E-02
P419,0.05986615,6.95E-03,1006,48603,4.85E-02
P420,0.022457298,6.98E-03,1006,48603,4.86E-02
P421,0.047316593,7.00E-03,1006,48603,4.86E-02
P422,0.046942187,7.03E-03,1006,48603,4.87E-02
P423,0.076132959,7.12E-03,1006,48603,4.92E-02
P424,0.034722826,7.13E-03,1006,48603,4.92E-02
P425,0.026253325,7.25E-03,1006,48603,4.98E-02
P426,0.032771705,7.37E-03,1006,48603,5.05E-02
P427,-0.036677223,7.36E-03,1006,48603,5.05E-02
P428,0.035067431,7.53E-03,1006,48603,5.14E-02
P429,0.041211491,7.58E-03,1006,48603,5.17E-02
P430,0.061341738,7.61E-03,1006,48603,5.17E-02
P431,0.065683299,7.71E-03,1006,48603,5.20E-02
P432,0.04990727,7.74E-03,1006,48603,5.20E-02
P433,-0.062849713,7.71E-03,1006,48603,5.20E-02
P434,-0.030700535,7.68E-03,1006,48603,5.20E-02
P435,0.028962381,7.74E-03,1006,48603,5.20E-02
P436,0.052916012,7.98E-03,1006,48603,5.35E-02
P437,0.0821468,8.10E-03,1006,48603,5.42E-02
P438,-0.034862408,8.16E-03,1006,48603,5.44E-02
P439,-0.034491213,8.32E-03,1006,48603,5.54E-02
P440,0.061476273,8.53E-03,1006,48603,5.67E-02
P441,0.07208366,8.58E-03,1006,48603,5.67E-02
P442,0.043140737,8.57E-03,1006,48603,5.67E-02
P443,0.049969489,8.62E-03,1006,48603,5.69E-02
P444,-0.030768693,8.85E-03,1006,48603,5.82E-02
P445,-0.066243584,8.85E-03,1006,48603,5.82E-02
P446,0.057053341,8.89E-03,1006,48603,5.83E-02
P447,0.059992372,8.94E-03,1006,48603,5.84E-02
P448,0.040541847,9.00E-03,1006,48603,5.87E-02
P449,0.021370775,9.05E-03,1006,48603,5.88E-02
P450,0.036265719,9.04E-03,1006,48603,5.88E-02
P451,0.042111452,9.17E-03,1006,48603,5.94E-02
P452,0.033634307,9.20E-03,1006,48603,5.95E-02
P453,0.048944463,9.44E-03,1006,48603,6.05E-02
P454,0.038267518,9.40E-03,1006,48603,6.05E-02
P455,0.087479495,9.44E-03,1006,48603,6.05E-02
P456,0.029034903,9.42E-03,1006,48603,6.05E-02
P457,-0.104379774,9.47E-03,1006,48603,6.06E-02
P458,0.028931779,9.54E-03,1006,48603,6.09E-02
P459,0.042237202,9.67E-03,1006,48603,6.16E-02
P460,0.06048158,9.96E-03,1006,48603,6.33E-02
P461,0.040304678,1.00E-02,1006,48603,6.34E-02
P462,-0.247954072,1.01E-02,1006,48603,6.36E-02
P463,0.069052858,1.01E-02,1006,48603,6.37E-02
P464,0.041593895,1.01E-02,1006,48603,6.38E-02
P465,0.040454198,1.03E-02,1006,48603,6.50E-02
P466,0.071336758,1.04E-02,1006,48603,6.51E-02
P467,0.053167429,1.06E-02,1006,48603,6.61E-02
P468,-0.015498097,1.06E-02,1006,48603,6.63E-02
P469,-0.038070142,1.07E-02,1006,48603,6.63E-02
P470,-0.040697408,1.07E-02,1006,48603,6.63E-02
P471,-0.032617513,1.08E-02,1006,48603,6.71E-02
P472,0.02050602,1.09E-02,1006,48603,6.74E-02
P473,0.058636618,1.11E-02,1006,48603,6.85E-02
P474,-0.110074218,1.12E-02,1006,48603,6.89E-02
